,ACTIVATION,OPTIMIZER,KERNEL NUMBER,KERNEL SIZE,ACCURACY,PRECISION,RECALL,F1 SCORE
0,RELU,ADAM, , ,0.9987292646907305,0.9987293534214414,0.9987292646907305,0.9987291600270728
1,SIGMOID,ADAM, , ,0.9984888553078958,0.9984888082918428,0.9984888553078958,0.9984887874789364
2,TANH,ADAM, , ,0.9983171343201566,0.9983170786683421,0.9983171343201566,0.9983170461780508
3,RELU,SGD, , ,0.9961191056770958,0.9961202727664016,0.9961191056770958,0.996119481815399
4,SIGMOID,SGD, , ,0.9875330562901398,0.9875743059482235,0.9875330562901398,0.9875162371852332
5,TANH,SGD, , ,0.996874678023148,0.9968746337618701,0.996874678023148,0.9968746546637264
6,RELU,ADAM,32,"(3,3)",0.9970120548133393,0.9970123393360292,0.9970120548133393,0.997012166355987
7,SIGMOID,ADAM,32,"(3,3)",0.9973898409863654,0.9973897241771132,0.9973898409863654,0.9973897629083748
8,TANH,ADAM,32,"(3,3)",0.9972181199986262,0.9972182667873313,0.9972181199986262,0.9972181823310969
9,RELU,SGD,32,"(3,3)",0.9974928735790088,0.9974927475434067,0.9974928735790088,0.997492779817194
10,SIGMOID,SGD,32,"(3,3)",0.997458529381461,0.9974584632223314,0.997458529381461,0.9974584913834789
11,TANH,SGD,32,"(3,3)",0.9977676271593914,0.9977675138729412,0.9977676271593914,0.9977675102361897
