ACTIVATION	OPTIMIZER	KERNEL NUMBER	KERNEL SIZE	ACCURACY	PRECISION	RECALL	F1 SCORE
RELU	ADAM	 	 	0.998729265	0.998729353	0.998729265	0.99872916
SIGMOID	ADAM	 	 	0.998488855	0.998488808	0.998488855	0.998488787
TANH	ADAM	 	 	0.998317134	0.998317079	0.998317134	0.998317046
RELU	SGD	 	 	0.996119106	0.996120273	0.996119106	0.996119482
SIGMOID	SGD	 	 	0.987533056	0.987574306	0.987533056	0.987516237
TANH	SGD	 	 	0.996874678	0.996874634	0.996874678	0.996874655
RELU	ADAM	32	"(3,3)"	0.997012055	0.997012339	0.997012055	0.997012166
SIGMOID	ADAM	32	"(3,3)"	0.997389841	0.997389724	0.997389841	0.997389763
TANH	ADAM	32	"(3,3)"	0.99721812	0.997218267	0.99721812	0.997218182
RELU	SGD	32	"(3,3)"	0.997492874	0.997492748	0.997492874	0.99749278
SIGMOID	SGD	32	"(3,3)"	0.997458529	0.997458463	0.997458529	0.997458491
TANH	SGD	32	"(3,3)"	0.997767627	0.997767514	0.997767627	0.99776751
